Ранк,Модел,Етап / Трансформация,Точност (Accuracy),F1-Score,Доп. настройки (Модел)
1,KNeighborsClassifier,СЛЕД (RobustScaler),0.859,0.7927,"Модел: [n_neighbors=10, weights=uniform]"
2,KNeighborsClassifier,СЛЕД (RobustScaler),0.8509,0.79,"Модел: [n_neighbors=10, weights=distance]"
3,LogisticRegression,СЛЕД (StandardScaler),0.8501,0.7798,"Модел: [C=1.0, max_iter=100]"
4,LogisticRegression,СЛЕД (StandardScaler),0.8494,0.7789,"Модел: [C=10.0, max_iter=100]"
5,KNeighborsClassifier,СЛЕД (RobustScaler),0.8492,0.7884,"Модел: [n_neighbors=5, weights=uniform]"
6,LogisticRegression,СЛЕД (MinMaxScaler),0.849,0.7786,"Модел: [C=10.0, max_iter=100]"
7,LogisticRegression,СЛЕД (RobustScaler),0.8469,0.7721,"Модел: [C=10.0, max_iter=100]"
8,LogisticRegression,СЛЕД (MinMaxScaler),0.8462,0.7736,"Модел: [C=1.0, max_iter=100]"
9,KNeighborsClassifier,ПРЕДИ (Без мащабиране),0.8461,0.7695,"Модел: [n_neighbors=10, weights=uniform]"
10,LogisticRegression,СЛЕД (RobustScaler),0.8455,0.7686,"Модел: [C=1.0, max_iter=100]"
11,KNeighborsClassifier,СЛЕД (RobustScaler),0.8452,0.7835,"Модел: [n_neighbors=5, weights=distance]"
12,LogisticRegression,ПРЕДИ (Без мащабиране),0.8387,0.7546,"Модел: [C=1.0, max_iter=100]"
13,RandomForestClassifier,ПРЕДИ (Без мащабиране),0.8381,0.7678,Модел: [n_estimators=50]
